,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
0,Antonio's Trattoria,910,4.5,"['pickup', 'delivery']",$$,40.854131,-73.886601,italian,2370 Belmont Ave,Bronx,10458,"['2370 Belmont Ave', 'Bronx, NY 10458']"
1,New York Botanical Garden,829,4.5,[],,40.8624081105702,-73.8769194420523,gardens,2900 Southern Blvd,Bronx,10458,"['2900 Southern Blvd', 'Bronx, NY 10458']"
2,Bronx Zoo,1182,4.0,[],,40.8486241952854,-73.8825604705517,zoos,2300 Southern Blvd,Bronx,10460,"['2300 Southern Blvd', 'Bronx, NY 10460']"
3,Taqueria Tlaxcalli,674,4.5,"['pickup', 'delivery']",$$,40.83624,-73.854962,mexican,2103 Starling Ave,Bronx,10462,"['2103 Starling Ave', 'Bronx, NY 10462']"
4,Trattoria Zero Otto Nove,820,4.0,['delivery'],$$,40.854779,-73.888474,italian,2357 Arthur Ave,Bronx,10458,"['2357 Arthur Ave', 'Bronx, NY 10458']"
5,Bronx Alehouse,869,4.0,"['pickup', 'delivery']",$$,40.8846317,-73.899705,tradamerican,216 W 238th St,Bronx,10463,"['216 W 238th St', 'Bronx, NY 10463']"
6,Casa Della Mozzarella Italian Deli,212,5.0,['delivery'],$$,40.85533,-73.88742,delis,604 E 187th St,Bronx,10458,"['604 E 187th St', 'Bronx, NY 10458']"
7,Com Tam Ninh Kieu,474,4.0,"['pickup', 'delivery']",$$,40.86702,-73.8982,vietnamese,2641 Jerome Ave,Bronx,10468,"['2641 Jerome Ave', 'Bronx, NY 10468']"
8,Havana Cafe,894,4.0,"['pickup', 'delivery']",$$,40.8379,-73.83437,cuban,3151 E Tremont Ave,Bronx,10461,"['3151 E Tremont Ave', 'Bronx, NY 10461']"
9,Joe's Italian Deli,152,5.0,"['pickup', 'delivery']",$$,40.8544073,-73.8848751,delis,685 E 187th St,Bronx,10458,"['685 E 187th St', 'Bronx, NY 10458']"
10,Madonia Brothers Bakery,293,4.5,[],$,40.85438,-73.8884099,bakeries,2348 Arthur Ave,Bronx,10458,"['2348 Arthur Ave', 'Bronx, NY 10458']"
11,Travesias,568,4.0,"['pickup', 'delivery']",$$,40.8243203,-73.8203809,latin,3834 E Tremont Ave,Bronx,10465,"['3834 E Tremont Ave', 'Bronx, NY 10465']"
12,Kingsbridge Social Club,246,4.5,"['pickup', 'delivery']",$$,40.88455,-73.90194,pizza,3625 Kingsbridge Ave,Bronx,10463,"['3625 Kingsbridge Ave', 'Bronx, NY 10463']"
13,La Morada,172,4.5,"['pickup', 'delivery']",$$,40.810552,-73.92142,mexican,308 Willis Ave,Bronx,10454,"['308 Willis Ave', 'Bronx, NY 10454']"
14,The Bronx Public,534,4.0,"['pickup', 'delivery']",$$,40.87827,-73.90341,sportsbars,170 W 231st St,Bronx,10463,"['170 W 231st St', 'Bronx, NY 10463']"
15,La Masa,481,4.0,"['pickup', 'delivery']",$$,40.84800080701825,-73.85594720000276,colombian,1000 Morris Park Ave,Bronx,10462,"['1000 Morris Park Ave', 'Bronx, NY 10462']"
16,Levain Bakery,8794,4.5,[],$$,40.779961,-73.980299,bakeries,167 W 74th St,New York,10023,"['167 W 74th St', 'New York, NY 10023']"
17,Louie & Ernie's Pizza,331,4.5,['delivery'],$,40.838288,-73.828563,pizza,1300 Crosby Ave,Bronx,10461,"['1300 Crosby Ave', 'Bronx, NY 10461']"
18,Mon Amour Coffee & Wine,246,4.5,"['pickup', 'delivery']",$$,40.8847906,-73.9001434,coffee,234 W 238th St,Bronx,10463,"['234 W 238th St', 'Bronx, NY 10463']"
19,Patricia's,560,4.0,"['pickup', 'delivery']",$$,40.84912,-73.8533099,pizza,1082 Morris Park Ave,Bronx,10461,"['1082 Morris Park Ave', 'Bronx, NY 10461']"
20,Tacos El Bronco II,167,4.5,"['pickup', 'delivery']",$,40.85453,-73.86769,mexican,White Plains Rd & Lydig Ave,Bronx,10462,"['White Plains Rd & Lydig Ave', 'Bronx, NY 10462']"
21,Aoyu Sushi,264,4.5,"['pickup', 'delivery']",$$,40.8859634,-73.9096909,japanese,3532 A Johnson Ave,Bronx,10463,"['3532 A Johnson Ave', 'Bronx, NY 10463']"
22,Porto Salvo,172,4.5,['delivery'],$$,40.82368,-73.91294,italian,424 E 161st St,Bronx,10451,"['424 E 161st St', 'Bronx, NY 10451']"
23,Leche Y Miel Restaurant,313,4.0,"['pickup', 'delivery']",$$,40.88373,-73.90183,comfortfood,5761 Broadway,Bronx,10463,"['5761 Broadway', 'Bronx, NY 10463']"
24,The Original Crab Shanty Restaurant,803,3.5,[],$$,40.848673,-73.787163,seafood,361 City Island Ave,Bronx,10464,"['361 City Island Ave', 'Bronx, NY 10464']"
25,Johnny's Reef Restaurant,578,4.0,[],$$,40.8377099599469,-73.7826705251312,seafood,2 City Island Ave,Bronx,10464,"['2 City Island Ave', 'Bronx, NY 10464']"
26,Gino's Pastry Shop,113,4.5,[],$$,40.855648,-73.88819,bakeries,580 E 187th St,Bronx,10458,"['580 E 187th St', 'Bronx, NY 10458']"
27,Kingston Tropical Bakery,164,4.5,['delivery'],$,40.88873,-73.85974,bakeries,4000 White Plains Rd,Bronx,10466,"['4000 White Plains Rd', 'Bronx, NY 10466']"
28,Suyo Gastrofusion,246,4.5,[],$$$,40.84061,-73.91825,asianfusion,1401 Plaza Dr,Bronx,10452,"['1401 Plaza Dr', 'Bronx, NY 10452']"
29,The Met Cloisters,704,4.5,[],,40.8649766228154,-73.9315730494599,museums,99 Margaret Corbin Dr,New York,10040,"['99 Margaret Corbin Dr', 'Fort Tryon Park', 'New York, NY 10040']"
30,Mike's Deli Arthur Avenue,245,4.0,[],$$,40.85416,-73.88817,catering,2344 Arthur Ave,Bronx,10458,"['2344 Arthur Ave', 'Bronx, NY 10458']"
31,S&S Cheesecake,191,4.5,"['pickup', 'delivery']",$$,40.8847182244062,-73.8995528966188,desserts,222 W 238th St,Bronx,10463,"['222 W 238th St', 'Bronx, NY 10463']"
32,Charlies Bar & Kitchen,366,4.0,"['pickup', 'delivery']",$$,40.807874991887,-73.9291545436554,cocktailbars,112 Lincoln Ave,Bronx,10454,"['112 Lincoln Ave', 'Bronx, NY 10454']"
33,Dominick's Restaurant,396,4.0,[],$$,40.85434,-73.889,italian,2335 Arthur Ave,Bronx,10458,"['2335 Arthur Ave', 'Bronx, NY 10458']"
34,Ceetay,352,4.0,"['pickup', 'delivery']",$$,40.807149,-73.927612,sushi,129 Alexander Ave,Bronx,10454,"['129 Alexander Ave', 'Bronx, NY 10454']"
35,The Metropolitan Museum of Art,3102,4.5,[],,40.779449,-73.963245,artmuseums,1000 5th Ave,New York,10028,"['1000 5th Ave', 'New York, NY 10028']"
36,Pugsley's Pizza,174,4.5,"['pickup', 'delivery']",$,40.85881,-73.88475,pizza,590 E 191st St,Bronx,10458,"['590 E 191st St', 'Bronx, NY 10458']"
37,Conti's Pastry Shoppe,284,4.0,"['pickup', 'delivery']",$$,40.845635,-73.862791,bakeries,786 Morris Park Ave,Bronx,10462,"['786 Morris Park Ave', 'Bronx, NY 10462']"
38,City Island Lobster House,664,3.5,[],$$$,40.8567604777185,-73.791118271164,seafood,691 Bridge St,Bronx,10464,"['691 Bridge St', 'Bronx, NY 10464']"
39,Hungry Bird,223,4.5,"['pickup', 'delivery']",$$,40.82847,-73.91669,indpak,980 Morris Ave,Bronx,10456,"['980 Morris Ave', 'Bronx, NY 10456']"
40,Da Franco & Tony Ristorante,112,4.5,"['pickup', 'delivery']",$$,40.8436584,-73.8360596,italian,2815 Middletown Rd,Bronx,10461,"['2815 Middletown Rd', 'Bronx, NY 10461']"
41,Beatstro,449,4.0,"['pickup', 'delivery', 'restaurant_reservation']",$$,40.80737,-73.92752,tradamerican,135 Alexander Ave,Bronx,10454,"['135 Alexander Ave', 'Bronx, NY 10454']"
42,Full Moon Pizzeria,313,4.0,"['pickup', 'delivery']",$,40.85536,-73.88758,pizza,600 E 187th St,Bronx,10458,"['600 E 187th St', 'Bronx, NY 10458']"
43,Roberto's,274,4.0,['delivery'],$$$,40.85372,-73.88834,italian,603 Crescent Ave,Bronx,10458,"['603 Crescent Ave', 'Bronx, NY 10458']"
44,Fish N' Ting,312,4.0,"['pickup', 'delivery']",$$,40.885723,-73.829075,caribbean,4063 Boston Rd,Bronx,10466,"['4063 Boston Rd', 'Bronx, NY 10466']"
45,Tino's Delicatessen,201,4.0,"['pickup', 'delivery']",$$,40.855761,-73.887075,delis,2410 Arthur Ave,Bronx,10458,"['2410 Arthur Ave', 'Bronx, NY 10458']"
46,Yo-Burger,265,4.0,['delivery'],$$,40.88739,-73.90695,burgers,3726 Riverdale Ave,Bronx,10463,"['3726 Riverdale Ave', 'Bronx, NY 10463']"
47,The Last Stop,114,4.5,['delivery'],$$,40.88976,-73.89854,bars,5977 Broadway,Bronx,10471,"['5977 Broadway', 'Bronx, NY 10471']"
48,Estrellita Poblana,284,4.0,"['pickup', 'delivery']",$$,40.83446,-73.85084,mexican,2231 Westchester Ave,Bronx,10462,"['2231 Westchester Ave', 'Bronx, NY 10462']"
49,The Cafe at Wave Hill,134,4.5,['delivery'],,40.900136527179335,-73.91254847266828,venues,675 W 249th St,Bronx,10471,"['675 W 249th St', 'Inside the Wave Hill House', 'Bronx, NY 10471']"
50,The Halal Guys,9806,4.0,"['pickup', 'delivery']",$,40.761861,-73.979306,foodstands,W 53rd Street And 6th Ave,New York,10019,"['W 53rd Street And 6th Ave', 'New York, NY 10019']"
51,Sam's Pizza,146,4.5,['delivery'],$,40.87939,-73.90601,pizza,232 W 231st St,Bronx,10463,"['232 W 231st St', 'Bronx, NY 10463']"
52,Liebman's Kosher Delicatessen,315,4.0,"['pickup', 'delivery']",$$,40.88548,-73.90951,delis,552 W 235th St,Bronx,10463,"['552 W 235th St', 'Bronx, NY 10463']"
53,Greek Express,234,4.0,['delivery'],$$,40.887465130647726,-73.90755915766862,greek,3733 Riverdale Ave,Bronx,10463,"['3733 Riverdale Ave', 'Bronx, NY 10463']"
54,F & J Pine Restaurant,610,3.5,['delivery'],$$,40.848685,-73.862069,italian,1913 Bronxdale Ave,Bronx,10462,"['1913 Bronxdale Ave', 'Bronx, NY 10462']"
55,Lloyd's Carrot Cake,265,4.0,"['pickup', 'delivery']",$,40.894,-73.89666,bakeries,6087 Broadway,Bronx,10471,"['6087 Broadway', 'Bronx, NY 10471']"
56,Arthur Ave Fiasco,127,4.5,"['pickup', 'delivery']",$$,40.854825,-73.887862,italian,2376 Arthur Ave,Bronx,10458,"['2376 Arthur Ave', 'Bronx, NY 10458']"
57,Mottley Kitchen,109,4.5,['pickup'],$$,40.8100856240886,-73.9216868293002,cafes,402 E 140th St,Bronx,10454,"['402 E 140th St', 'Bronx, NY 10454']"
58,Empire Bagels,131,4.5,['delivery'],$,40.8494,-73.83062,bagels,3101 Westchester Ave,Bronx,10461,"['3101 Westchester Ave', 'Bronx, NY 10461']"
59,Kai Sushi Asian Fusion,276,4.0,"['pickup', 'delivery']",$$,40.84362,-73.84565,asianfusion,1475 Williamsbridge Rd,Bronx,10461,"['1475 Williamsbridge Rd', 'Bronx, NY 10461']"
60,Katz's Delicatessen,13441,4.0,"['pickup', 'delivery']",$$,40.722237,-73.9875259,delis,205 E Houston St,New York,10002,"['205 E Houston St', 'New York, NY 10002']"
61,George's Diner & Cafe,220,4.0,[],$,40.8367999,-73.84695,diners,2369 Westchester Ave,Bronx,10462,"['2369 Westchester Ave', 'Bronx, NY 10462']"
62,Enzos of Arthur Avenue,334,4.0,['delivery'],$$,40.854716697326715,-73.8887236,italian,2339 Arthur Ave,Bronx,10458,"['2339 Arthur Ave', 'Bronx, NY 10458']"
63,San Gennaro Trattoria Restaurant Bar,195,4.0,"['pickup', 'delivery']",$$,40.8540465225016,-73.8889484480023,italian,2329 Arthur Ave,West Bronx,10458,"['2329 Arthur Ave', 'West Bronx, NY 10458']"
64,Cerini Coffee & Gifts,76,5.0,['delivery'],$$,40.854,-73.8887,coffee,2334 Arthur Ave,Bronx,10458,"['2334 Arthur Ave', 'Bronx, NY 10458']"
65,Central Park Conservancy,2621,5.0,[],,40.764266,-73.971656,parks,14 E 60th St,New York,10022,"['14 E 60th St', 'New York, NY 10022']"
66,Ippudo NY,10218,4.0,"['pickup', 'delivery']",$$,40.73092,-73.99015,ramen,65 4th Ave,New York,10003,"['65 4th Ave', 'New York, NY 10003']"
67,Sal & Dom's Pastry Shop,104,4.5,['delivery'],$$,40.865162,-73.855157,bakeries,1108 Allerton Ave,Bronx,10469,"['1108 Allerton Ave', 'Bronx, NY 10469']"
68,Chocobar Cortes,101,5.0,"['pickup', 'delivery']",$$,40.80738298601883,-73.92733223139571,chocolate,141 Alexander Ave,South Bronx,10454,"['141 Alexander Ave', 'South Bronx, NY 10454']"
