,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
0,Di Fara Pizza,3739,4.0,"['pickup', 'delivery']",$$,40.625093,-73.961531,pizza,1424 Ave J,Brooklyn,11230,"['1424 Ave J', 'Brooklyn, NY 11230']"
1,Katz's Delicatessen,13441,4.0,"['pickup', 'delivery']",$$,40.722237,-73.9875259,delis,205 E Houston St,New York,10002,"['205 E Houston St', 'New York, NY 10002']"
2,Ample Hills Creamery,1509,4.5,"['pickup', 'delivery']",$$,40.6786123071501,-73.9681703184027,icecream,623 Vanderbilt Ave,Brooklyn,11238,"['623 Vanderbilt Ave', 'Brooklyn, NY 11238']"
3,Prospect Park,669,4.5,[],,40.662602400609686,-73.9719422659052,parks,95 Prospect Park W,Brooklyn,11215,"['95 Prospect Park W', 'Brooklyn, NY 11215']"
4,Brooklyn Botanic Garden,882,4.5,[],,40.6692899,-73.9633,gardens,990 Washington Ave,Brooklyn,11225,"['990 Washington Ave', 'Brooklyn, NY 11225']"
5,Peter Luger,6227,4.0,[],$$$$,40.709945,-73.962478,steak,178 Broadway,Brooklyn,11211,"['178 Broadway', 'Brooklyn, NY 11211']"
6,L & B Spumoni Gardens,4156,4.0,"['pickup', 'delivery']",$,40.594715,-73.981316,pizza,2725 86th St,Brooklyn,11223,"['2725 86th St', 'Brooklyn, NY 11223']"
7,Ippudo NY,10218,4.0,"['pickup', 'delivery']",$$,40.73092,-73.99015,ramen,65 4th Ave,New York,10003,"['65 4th Ave', 'New York, NY 10003']"
8,Bogota Latin Bistro,2369,4.0,"['pickup', 'delivery']",$$,40.678165,-73.978976,bars,141 5th Ave,Brooklyn,11217,"['141 5th Ave', 'Brooklyn, NY 11217']"
9,The Farm On Adderley,1228,4.0,['delivery'],$$,40.63965,-73.96754,newamerican,1108 Cortelyou Rd,Brooklyn,11218,"['1108 Cortelyou Rd', 'Brooklyn, NY 11218']"
10,Barboncino Pizza & Bar,1047,4.0,['delivery'],$$,40.67206,-73.95717,pizza,781 Franklin Ave,Brooklyn,11238,"['781 Franklin Ave', 'Brooklyn, NY 11238']"
11,Juliana's,2416,4.5,['delivery'],$$,40.70274718768062,-73.99343490196397,pizza,19 Old Fulton St,Brooklyn,11201,"['19 Old Fulton St', 'Brooklyn, NY 11201']"
12,MangoSeed Restaurant,843,4.0,"['pickup', 'delivery']",$$,40.65453249999999,-73.95941959999999,caribbean,755 Flatbush Ave,Brooklyn,11226,"['755 Flatbush Ave', 'Brooklyn, NY 11226']"
13,LoveMama,5878,4.5,"['pickup', 'delivery', 'restaurant_reservation']",$$,40.730408722512074,-73.98612673033213,thai,174 2nd Ave,New York,10003,"['174 2nd Ave', 'New York, NY 10003']"
