,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
0,Haidilao Hotpot Flushing,1663,5.0,['delivery'],$$$,40.76099,-73.827853,hotpot,138-23 39th Ave,Flushing,11354,"['138-23 39th Ave', 'Flushing, NY 11354']"
1,Nan Xiang Xiao Long Bao,4032,4.0,"['pickup', 'delivery']",$$,40.75924,-73.8326,shanghainese,39-16 Prince St,Flushing,11354,"['39-16 Prince St', 'Ste 104', 'Flushing, NY 11354']"
2,JoJu,1818,4.5,"['pickup', 'delivery']",$,40.7407051700423,-73.8793501821476,coffee,83-25 Broadway,Elmhurst,11373,"['83-25 Broadway', 'Elmhurst, NY 11373']"
3,The Alcove,983,5.0,"['pickup', 'delivery']",$$,40.7459065,-73.915103,gastropubs,41-11 49th St,Sunnyside,11104,"['41-11 49th St', 'Sunnyside, NY 11104']"
4,"Sal, Kris, & Charlie's Deli",1263,4.5,['delivery'],$$,40.773326878163,-73.9113807678223,delis,33-12 23rd Ave,Astoria,11105,"['33-12 23rd Ave', 'Astoria, NY 11105']"
5,Taverna Kyclades,2496,4.0,"['pickup', 'delivery']",$$,40.77444,-73.90786,seafood,3601 Ditmars Blvd,Astoria,11105,"['3601 Ditmars Blvd', 'Astoria, NY 11105']"
6,Il Bambino,1265,4.5,"['pickup', 'delivery']",$$,40.76281,-73.92089,italian,34-08 31st Ave,Astoria,11106,"['34-08 31st Ave', 'Astoria, NY 11106']"
7,Seva Indian Cuisine,1348,4.5,"['pickup', 'delivery']",$$,40.76571,-73.91839,indpak,34-11 30th Ave,Astoria,11103,"['34-11 30th Ave', 'Astoria, NY 11103']"
8,SriPraPhai Thai Restaurant,2438,4.0,[],$$,40.7464987,-73.8992328,thai,64-13 39th Ave,Woodside,11377,"['64-13 39th Ave', 'Woodside, NY 11377']"
9,Mad For Chicken,1970,4.0,"['pickup', 'delivery']",$$,40.7635739,-73.8079404,korean,157-18 Northern Blvd,Flushing,11354,"['157-18 Northern Blvd', 'Flushing, NY 11354']"
10,Martha’s Country Bakery,2289,4.0,"['pickup', 'delivery']",$$,40.72038,-73.84604,bakeries,70-28 Austin St,Forest Hills,11375,"['70-28 Austin St', 'Forest Hills, NY 11375']"
11,The Dolar Shop,947,4.5,"['restaurant_reservation', 'pickup', 'delivery']",$$$,40.761057,-73.83306,chinese,36-36 Prince St,Flushing,11354,"['36-36 Prince St', 'Fl 1', 'Flushing, NY 11354']"
