,name,review_count,rating,price,latitude,longitude,alias,address1,city,zip_code,display_address
0,The Halal Guys,9806,4.0,$,40.761861,-73.979306,foodstands,W 53rd Street And 6th Ave,New York,10019,"['W 53rd Street And 6th Ave', 'New York, NY 10019']"
1,Levain Bakery,8794,4.5,$$,40.779961,-73.980299,bakeries,167 W 74th St,New York,10023,"['167 W 74th St', 'New York, NY 10023']"
2,Best Bagel & Coffee,3856,4.5,$,40.7522683,-73.9910861,bagels,225 W 35th St,New York,10001,"['225 W 35th St', 'New York, NY 10001']"
3,Le Bernardin,2674,4.5,$$$$,40.761557,-73.981763,french,155 W 51st St,New York,10019,"['155 W 51st St', 'The Equitable Bldg', 'New York, NY 10019']"
4,Los Tacos No.1,2192,4.5,$,40.7575067,-73.9877717,tacos,229 W 43rd St,New York,10036,"['229 W 43rd St', 'New York, NY 10036']"
5,Ippudo NY,10217,4.0,$$,40.73092,-73.99015,ramen,65 4th Ave,New York,10003,"['65 4th Ave', 'New York, NY 10003']"
6,Bengal Tiger Indian Food,2089,4.5,$$,40.763167,-73.977131,indpak,58 W 56th St,New York,10019,"['58 W 56th St', 'Fl 2', 'New York, NY 10019']"
7,Daniel,1722,4.5,$$$$,40.7667736797858,-73.967607,french,60 E 65th St,New York,10065,"['60 E 65th St', 'New York, NY 10065']"
8,Del Frisco's Double Eagle Steakhouse,3207,4.0,$$$$,40.759412,-73.982221,steak,1221 Ave Of The Americas,New York,10020,"['1221 Ave Of The Americas', 'New York, NY 10020']"
9,Ippudo Westside,3842,4.0,$$,40.76344,-73.98661,ramen,321 W 51st St,New York,10019,"['321 W 51st St', 'New York, NY 10019']"
10,Up Thai,2621,4.5,$$,40.7698275926665,-73.9576330868512,thai,1411 2nd Ave,New York,10021,"['1411 2nd Ave', 'New York, NY 10021']"
11,Anytime Kitchen ,2010,4.5,$$,40.74776270790539,-73.9867793576711,korean,23 W 32nd St,New York,10001,"['23 W 32nd St', 'Fl 3', 'New York, NY 10001']"
12,Burger & Lobster - Flatiron NYC,5590,4.0,$$,40.74007,-73.99344,seafood,39 W 19th St,New York,10011,"['39 W 19th St', 'New York, NY 10011']"
13,Gramercy Tavern,3071,4.5,$$$$,40.73844,-73.98825,newamerican,42 E 20th St,New York,10003,"['42 E 20th St', 'New York, NY 10003']"
